LC_Language	Dil
LC_Game_Loading	Yükleniyor
LC_Loading	Yükleniyor
LC_General_OK	TAMAM
LC_General_Cancel	İptal
LC_General_Yes	Evet
LC_General_No	Hayır
LC_General_Back	Geri
LC_General_Apply	Uygula
LC_StartMenu_Play	Oynat
LC_StartMenu_Exit	Çıkış
LC_StartMenu_Credits	Krediler
LC_StartMenu_Restart	Yeni Oyun
LC_StartMenu_SelectLevel	Seviye seç
LC_Game_Restart_Warning	Oyundaki ilerlemeyi sil?
LC_Game_Exit_Warning	Oyundan çık?
LC_Options_Header	Seçenekler
LC_Options_MusicVolume	Müzik
LC_Options_EffectsVolume	Efektler
LC_Options_VoiceVolume	Sesler
LC_Options_FullScreen	Tam ekran
LC_Options_ClearSavegame	Oyun kaydını sil
LC_Options_Resolution	Çözünürlük
LC_Options_ControllerSensitivity	İmleç ve Kaydırma Hızı
LC_Options_PostFX	Post FX
LC_Low	Düşük
LC_Medium	Orta
LC_High	Yüksek
LC_Options_AntiAliasing	Kenar düzeltme
LC_OFF	Kapalı
LC_AA_2	2x MSAA
LC_AA_4	4x MSAA
LC_AA_8	8x MSAA
LC_Options_Shadows	Gölgeler
LC_Options_FPS	FPS Limiti
LC_Options_FPS_30	30
LC_Options_FPS_60	60
LC_Options_Displaybased	Görüntü temelli
LC_Levels_Start	Başlat
LC_Levels_Header	Seviyeler
LC_LevelDisplay_VehiclesInLine	Hazır: {1}
LC_LevelDisplay_Destroyed	Yok edilen: {1}
LC_LevelDisplay_Passed	Geçilen: {1}
LC_Intro_Start_Controller	Bas
LC_Intro_Start_MouseKeyboard	Başlamak için tıkla
LC_Intro_Start_Touch	Başlamak için dokun
LC_Intro_StartWithTutorial	Eğitim ile başla
LC_BuildMode_ClearConstruction	İnşaatı Temizle?
LC_BuildMode_Simulating	Simüle ediliyor...
LC_BuildMode_Budget	Bütçe
LC_BuildMode_Score	Puan
LC_Navigation_Test	Test et
LC_Navigation_Build	İnşa et
LC_Navigation_Drive	Sür
LC_Navigation_Convoy	Konvoy
LC_LevelMenu_Menu	Menü
LC_LevelMenu_LoadConstruction	İnşaatı Yükle
LC_LevelMenu_SaveConstruction	İnşaatı Kaydet
LC_LevelMenu_GalleryButton	En iyi uygulamalar
LC_LevelMenu_NextLevel	Sonraki seviye
LC_LevelMenu_ExitLevel	Ana Menüye Çık
LC_LevelMenu_ClearConstruction	İnşaatı temizle
LC_LevelMenu_Controls	Kontroller
LC_WinScreen_Success	Başarılı!
LC_WinScreen_Expenses	Savurganca harcadığın:
LC_WinScreen_Vehicles	Getirilen test araçları:
LC_WinScreen_NormalBadge	Marjinal...
