"lang"
{
"Language"	"turkish"
"Tokens"
{
"Intro_Start"	"Başlat"
"[english]Intro_Start"	"Start"
"Intro_PlayIntro"	"Girişi Oynat"
"[english]Intro_PlayIntro"	"Play Intro"
"Whiteboard_Title"	"Açık Deneyler"
"[english]Whiteboard_Title"	"Open Experiments"
"Whiteboard_Name"	"İsim"
"[english]Whiteboard_Name"	"Name"
"Whiteboard_Complete"	"Tamamlandı?"
"[english]Whiteboard_Complete"	"Complete?"
"Clip_Experiment"	"Deney"
"[english]Clip_Experiment"	"Experiment"
"Clip_Description"	"Açıklama"
"[english]Clip_Description"	"Description"
"Clip_Comments"	"Yorumlar"
"[english]Clip_Comments"	"Comments"
"Clip_Postcards_Title"	"Kartpostallar"
"[english]Clip_Postcards_Title"	"Postcards"
"Clip_Postcards_Text"	"Her kartpostal dünyanın dört bir yanından farklı bir konuma erişir."
"[english]Clip_Postcards_Text"	"Each postcard traverses to a different location from around the world."
"Clip_Postcards_Comm"	"- Gönderileceğiniz konumu seçmek için fişi hareket ettirin."
"[english]Clip_Postcards_Comm"	"- Move the plug to select which location you will be sent to."
"Clip_Slingshot_Title"	"Sapan"
"[english]Clip_Slingshot_Title"	"Slingshot"
"Clip_Slingshot_Text"	"Bir Aperture Science Depolama İlavesini yıkıcı bir şekilde yok etmek için kullanılabilecek bir Çekirdek Ölçümleme sapanına gönderir."
"[english]Clip_Slingshot_Text"	"Outputs to a Core Calibration slingshot, which can be used to recklessly destroy an Aperture Science Storage Annex."
"Clip_Longbow_Title"	"Yay"
"[english]Clip_Longbow_Title"	"Longbow"
"Clip_Longbow_Text"	"Okçuluk yeteneklerinin kudurmuş bir orduya karşı savunmak zorunda olduğu saldırı altındaki bir kaleye bağlanıyor."
"[english]Clip_Longbow_Text"	"Connects to a castle under siege, where archery skills must defend against a rampaging horde."
"Clip_Longbow_Comm"	"- Bekle, bu bir olimpik yay değil mi?\n- Kapa çeneni Daryl."
"[english]Clip_Longbow_Comm"	"- Wait, isn't that a recurve bow?\n- Shut up, Daryl."
"Clip_Xortex_Title"	"Xortex 26XX"
"[english]Clip_Xortex_Title"	"Xortex 26XX"
"Clip_Xortex_Text"	"Saldırganlara saldırırken düşman ateşi yağmurundan kaçabilen bir drone savaşçısına gönderir."
"[english]Clip_Xortex_Text"	"Uplinks to a drone fighter capable of maneuvering through a hail of enemy fire as it shoots down attackers."
"Clip_Xortex_Comm"	"- Piyuv piyuv piyuv!"
"[english]Clip_Xortex_Comm"	"- Pew pew pew!"
"Clip_Planets_Title"	"Güneş Sistemi"
"[english]Clip_Planets_Title"	"Solar System"
"Clip_Planets_Text"	"Heykel, güneş sistemini içindeki gezegenleri doğru ölçekli halleri ile gösteren bir portre gösterir."
"[english]Clip_Planets_Text"	"Relic emits a portrayal of the solar system with all planets in their correct relative scale."
"Clip_Planets_Comm"	"- Ve göreceli yörünge mesafeleri? \n- Muhtelemen bu kadar yürümek istemiyorsundur."
"[english]Clip_Planets_Comm"	"- And relative orbital distances?\n- You probably don't want to walk that far."
"Clip_HumanBody_Title"	"İnsan Vücudu Taraması"
"[english]Clip_HumanBody_Title"	"Human Body Scan"
"Clip_HumanBody_Text"	"İnsan türünün keşfedilebilir üç boyutlu bir modeline götürüyor gibi gözüküyor."
"[english]Clip_HumanBody_Text"	"Seems to lead to an explorable three dimensional model of the human form."
"Clip_HumanBody_Comm"	"- Üç boyutlu cesetler mi? İmkansız!"
"[english]Clip_HumanBody_Comm"	"- Three dimensional bodies? Impossible!"
"Clip_RobotRepair_Title"	"Robot Tamiri"
"[english]Clip_RobotRepair_Title"	"Robot Repair"
"Clip_RobotRepair_Text"	"Hasarlı bir AT-D7796 robotunun yardıma ihtiyaç duyduğu Aperture Science'a gönderir."
"[english]Clip_RobotRepair_Text"	"Traverses to Aperture Science, where a damaged AT-D7796 robot requires assistance."
"Clip_RobotRepair_Comm"	"- Sonuçta Laboratuvar 44'e olan şey buydu."
"[english]Clip_RobotRepair_Comm"	"- So that's what happened to Lab 44."
"Clip_SecretShop_Title"	"Gizli Dükkân"
"[english]Clip_SecretShop_Title"	"Secret Shop"
"Clip_SecretShop_Text"	"Antik bir şeylerin savunmasında sıkça kullanıldığını düşündüğümüz, büyülü eserlerle ile dolu olan bir dükkâna çıkıyor."
"[english]Clip_SecretShop_Text"	"Leads to a storehouse filled with magical artifacts we believe are most commonly used to defend ancients."
"Clip_SecretShop_Comm"	"- Şşt!"
"[english]Clip_SecretShop_Comm"	"- Shh!"
"Clip_DemoRoom1_Title"	"Valve Demo Odası"
"[english]Clip_DemoRoom1_Title"	"Valve Demo Room"
"Clip_DemoRoom1_Text"	"Valve'ın geliştirmekte olduğu oda ölçekli VR'ın ilk deneyleri için Valve HQ'daki bu oda kullanıldı.\n\nBaşlığa yerleştirilen bir kamera duvardaki kodları tanıyarak kullanan kişinin konumunu takip etmektedir. Prototip ekranlar iki cep telefonun özel devrelerle bağlanmasıyla yapıldı."
"[english]Clip_DemoRoom1_Text"	"Valve's early experiments in developing room-scale VR took place in this room at Valve HQ.\n\nA camera mounted on the headset recognizes codes on the walls to track the wearer's position. The prototype displays were built from two cellphones connected with custom circuitry."
"Clip_DemoRoom2_Title"	"Valve Demo Odası"
"[english]Clip_DemoRoom2_Title"	"Valve Demo Room"
"Clip_DemoRoom2_Text"	"Oda ölçeği VR lazer izleme teknolojisi kod adı Lighthouse ile geliştirildi. Her ana istasyon başlığı kullanan kişiyi çok hassas bir şekilde takip edebilmesi için kızılötesi lazer yaymaktadır.\n\nBu demodaki Valve HQ, birbirinden farklı yüzlerce VR tecrübesinin gösterilmesi için kullanıldı."
"[english]Clip_DemoRoom2_Text"	"Room-scale VR evolved with the invention of laser tracking technology, codenamed Lighthouse. Each base station emits infrared lasers which sweep across the headset, allowing precise tracking of the wearer's position.\n\nThis demo room in Valve HQ was used to showcase hundreds of different VR experiments."
"Slingshot_Leaderboard"	"Küresel Sıralama Listesi"
"[english]Slingshot_Leaderboard"	"Global Leaderboard"
"Slingshot_Rank"	"Rütbe"
"[english]Slingshot_Rank"	"Rank"
"Slingshot_Name"	"İsim"
"[english]Slingshot_Name"	"Name"
"Slingshot_Score"	"Puan"
"[english]Slingshot_Score"	"Score"
"Slingshot_Damage"	"HASAR..."
"[english]Slingshot_Damage"	"DAMAGE..."
"Slingshot_Previous"	"Önceki Atış"
"[english]Slingshot_Previous"	"Previous Shot"
"Xortex_PickUpDrone"	"OYUNA BAŞLAMAK İÇİN\nGEMİYİ ALIN"
"[english]Xortex_PickUpDrone"	"PICK UP SHIP\nTO START GAME"
"Xortex_PullTrigger"	"OYUNA BAŞLAMAK İÇİN\nTETİĞİ ÇEKİN"
"[english]Xortex_PullTrigger"	"PULL TRIGGER\nTO START GAME"
"Xortex_Victory"	"ZAFER!"
"[english]Xortex_Victory"	"VICTORY!"
"Xortex_GameOver"	"OYUN BİTTİ"
"[english]Xortex_GameOver"	"GAME OVER"
"Xortex_Leaderboards"	"SIRALAMA LİSTELERİ"
"[english]Xortex_Leaderboards"	"LEADERBOARDS"
"Xortex_FriendScores"	"ARKADAŞ PUANLARI"
"[english]Xortex_FriendScores"	"FRIEND SCORES"
"Xortex_GlobalScores"	"KÜRESEL PUANLAR"
"[english]Xortex_GlobalScores"	"GLOBAL SCORES"
"Xortex_Hint_Aim"	"ATEŞ ETMEK İÇİN DÜŞMANI HEDEF ALIN"
"[english]Xortex_Hint_Aim"	"AIM AT ENEMIES TO SHOOT"
"Xortex_Hint_Attacks"	"KIRMIZI SALDIRILAR GEMİNİZİ YOK EDECEKTİR"
"[english]Xortex_Hint_Attacks"	"RED ATTACKS WILL DESTROY YOUR SHIP"
"Xortex_Hint_Orbs"	"LAZERİ ŞARJ ETMEK İÇİN {0} KÜRE TOPLAYIN"
"[english]Xortex_Hint_Orbs"	"COLLECT {0} ORBS TO CHARGE LASER"
"Xortex_Hint_Special"	"LAZERİ AKTİFLEŞTİRMEK İÇİN TETİKLEYİCİYİ ÇEKİN"
"[english]Xortex_Hint_Special"	"PULL TRIGGER TO ACTIVATE LASER"
"VesperPeak_NorthFace"	"Kuzey Yüzü"
"[english]VesperPeak_NorthFace"	"North Face"
"VesperPeak_SouthVista"	"Güney Vista"
"[english]VesperPeak_SouthVista"	"South Vista"
"Longbow_Wave"	"Dalga"
"[english]Longbow_Wave"	"Wave"
"Longbow_Health"	"Kapı Sağlığı"
"[english]Longbow_Health"	"Gate Health"
"Longbow_Win"	"Orduyu mağlup ettin!"
"[english]Longbow_Win"	"You have defeated the horde!"
"Longbow_Lose"	"Ordu kalenizi yağmaladı!"
"[english]Longbow_Lose"	"The horde has sacked your castle!"
