"lang"
{
"Language"	"turkish"
"Tokens"
{
"vrslingshot_announcer_bar_fill_01"	"Hasar eşiğine ulaşıldı. Yeni çekirdek yerleştiriliyor."
"[english]vrslingshot_announcer_bar_fill_01"	"Damage threshold reached. Deploying new core."
"vrslingshot_announcer_bar_fill_02"	"Hasar eşiğine ulaşıldı. Yedek çekirdek gönderiliyor."
"[english]vrslingshot_announcer_bar_fill_02"	"Damage threshold reached. Sending replacement core."
"vrslingshot_announcer_bar_fill_short"	"Yeni çekirdek gönderiliyor."
"[english]vrslingshot_announcer_bar_fill_short"	"Sending new core."
"vrslingshot_announcer_damage_detect_01"	"Uyarı! Hasar algılandı."
"[english]vrslingshot_announcer_damage_detect_01"	"Warning! Damage detected."
"vrslingshot_announcer_damage_detect_02"	"Ek Depolamada hasar algılandı."
"[english]vrslingshot_announcer_damage_detect_02"	"Damage detected to the Storage Annex."
"vrslingshot_announcer_damage_detect_03"	"Uyarı! Ek Depolama hasar aldı."
"[english]vrslingshot_announcer_damage_detect_03"	"Alert! Storage Annex has been damaged."
"vrslingshot_announcer_damage_detect_short"	"Hasar Algılandı"
"[english]vrslingshot_announcer_damage_detect_short"	"Damage Detected"
"vrslingshot_announcer_gameover"	"Kariyer bitti. Kovuldunuz."
"[english]vrslingshot_announcer_gameover"	"Career over. You are fired."
"vrslingshot_announcer_gameover_01"	"Daha fazla çekirdek gelmiyor. Sana güvenmiyorlar. Kovuldun."
"[english]vrslingshot_announcer_gameover_01"	"There are no more cores coming. They do not trust you. You are fired."
"vrslingshot_announcer_gameover_02"	"Eğer herhangi bir yorum veya sorunuz varsa, lütfen sonraki işinizde insan kaynakları departmanı ile temas kurmaktan çekinmeyin çünkü kovuldunuz."
"[english]vrslingshot_announcer_gameover_02"	"If you have any comments or questions, please do not hesitate to contact the human resources department of your next job, because you are fired."
"vrslingshot_announcer_gameover_03"	"Mükemmel. İlgilenmeniz gerekenlerden [SIFIR] tane çekirdeği ölçümlediniz ve [TAMAMEN SIFIR] tanesini korudunuz. Bir sonraki çalışan incelemenizde [BU KİŞİYİ KOV] ödül olarak [SIFIR] promosyon alacaksınız."
"[english]vrslingshot_announcer_gameover_03"	"Well done. You have calibrated [NO] cores and safeguarded [LITERALLY NONE] of the property in your care. You will be given a [NO] promotion at your next employee [FIRE THIS PERSON] review."
"vrslingshot_announcer_gameover_nodamage_01"	"Mükemmel. İlgilenmeniz gerekenlerden [SIFIR] tane çekirdeği ölçümlediniz ve [HEPSİNİ] korudunuz. Bir sonraki çalışan [KOVMA] incelemenizde ödül olarak [KOVULMA] promosyonu alacaksınız."
"[english]vrslingshot_announcer_gameover_nodamage_01"	"Well done. You have calibrated [NO] cores and safeguarded [ALL] of the property in your care. You will be given a [FIRED] promotion at your next employee [FIRING] review."
"vrslingshot_announcer_gameover_win_01"	"Güzel! İlgilenmeniz gerekenlerden [SIFIR] tane çekirdeği ölçümlediniz ve [TAMAMEN SIFIR] tanesini korudunuz. Bu yaratıcı problem çözme, girişimcilik ve liderlik yeteneklerinizin ne kadar güzel olduğunu gösteriyor. Aperture'e hoş geldiniz... Bay Aperture'ün Başkanı."
"[english]vrslingshot_announcer_gameover_win_01"	"Good! You have calibrated [NO] cores and safeguarded [LITERALLY NONE] of the property in your care. This demonstrates creative problem solving, initiative and leadership skills. Welcome to Aperture... Mister President of Aperture."
"vrslingshot_announcer_gameover_win_02"	"Güzel! İlgilenmeniz gerekenlerden [SIFIR] tane çekirdeği ölçümlediniz ve [TAMAMEN SIFIR] tanesini korudunuz. Bu yaratıcı problem çözme, girişimcilik ve liderlik yeteneklerinizin ne kadar mükemmel olduğunu gösteriyor. Kariyer Yönlendirme Çekirdeğinin yaptığı hesaplamalara göre bu şirkette sizin için en iyi pozisyon [BU ŞİRKETİN BAŞKANI] olacaktır. Tebrikler!"
"[english]vrslingshot_announcer_gameover_win_02"	"Good. You have calibrated [NO] cores and safeguarded [LITERALLY NONE] of the property in your care. This demonstrates creative problem solving, initiative and leadership skills. The Career Assessment Core calculates you will be best suited to the position of [PRESIDENT OF THIS COMPANY]. Congratulations!"
"vrslingshot_announcer_good_01"	"Güzel."
"[english]vrslingshot_announcer_good_01"	"Good."
"vrslingshot_announcer_good_02"	"Güzel!"
"[english]vrslingshot_announcer_good_02"	"Good!"
"vrslingshot_announcer_height_switch"	"Bu anahtar ölçümleme ekipmanını iyi bir çalışma yüksekliğine ayarlamak için kullanabileceğiniz ölçümleme ünitesi yükseklik düzenleme ölçümleyicisini kontrol eder."
"[english]vrslingshot_announcer_height_switch"	"This switch operates the calibration unit height adjustment calibrator, which you can use to set the calibration equipment to a comfortable operating height."
"vrslingshot_announcer_intro"	"Hoş geldin çekirdek ölçümleme stajyeri. Hazır olduğunda ölçümleme ünitesine yaklaş ve çekirdekleri ölçümlemeye başla."
"[english]vrslingshot_announcer_intro"	"Welcome, core calibration trainee. When you're ready, approach the calibration unit and begin calibrating cores."
"vrslingshot_announcer_intro_nag_01"	"Ölçümleme ünitesine yaklaşın ve çekirdekleri ölçümlemeye başlayın."
"[english]vrslingshot_announcer_intro_nag_01"	"Approach the calibration unit and begin calibrating cores."
"vrslingshot_announcer_intro_nag_02"	"Ölçümleme ünitesine yaklaşın."
"[english]vrslingshot_announcer_intro_nag_02"	"Approach the calibration unit."
"vrslingshot_announcer_intro_nag_03"	"Ölçümleme ünitesine henüz yaklaşmadınız. Lütfen şimdi yaklaşın."
"[english]vrslingshot_announcer_intro_nag_03"	"You have not approached the calibration unit. Please do so now."
"vrslingshot_announcer_intro_nag_04"	"Ölçümleme ünitesi sizinle aynı odada bulunan büyük, ölçümleme şekline sahip bir ünitedir. Ona yaklaşın ve çekirdekleri ölçümlemeye başlayın."
"[english]vrslingshot_announcer_intro_nag_04"	"The calibration unit is the large, calibration-shaped unit in the room with you. Approach it now and begin calibrating cores."
"vrslingshot_announcer_intro_nag_05"	"Ölçümleme ünitesi rastgele objeleri taşıyan bir kemer değildir. Bu bir taşıma kemeridir. Ona yaklaşmayın. Onun yerine ölçümleme ünitesine yaklaşın ve çekirdekleri ölçümlemeye başlayın."
"[english]vrslingshot_announcer_intro_nag_05"	"The calibration unit is not the belt conveying random objects. This is a conveyor belt. Do not approach it. Instead, approach the calibration unit and begin calibrating cores."
"vrslingshot_announcer_intro_nag_06"	"Bir ölçümleme stajyeri olarak yapmanız gereken en önemli iş ölçümleme ünitesinde çekirdekleri ölçümlemektir. Bunu yapmak için ilk önce üniteye yaklaşmalı, ardından onu kullanmalısınız."
"[english]vrslingshot_announcer_intro_nag_06"	"Your most important and only job as a calibration trainee is to calibrate cores in the calibration unit. To do so, you must first approach, and then use the unit."
"vrslingshot_announcer_putitdown_nag_01"	"Lütfen yetkisiz ekipmanı ölçümlemeyin."
"[english]vrslingshot_announcer_putitdown_nag_01"	"Please do not calibrate unauthorized equipment."
"vrslingshot_announcer_putitdown_nag_02"	"Bu yetkilendirilmemiş ekipmandır. Lütfen onu ölçümlemeyin."
"[english]vrslingshot_announcer_putitdown_nag_02"	"That is unauthorized equipment. Please do not calibrate it."
"vrslingshot_announcer_putitdown_nag_03"	"Bu yetkilendirilmemilş bir ekipmandır. Lütfen ölçümleme aktivitenizi sadece hali hazırda ölçümleme ünitesinin içerisinde bulunan çekirdeklere yoğunlaştırın."
"[english]vrslingshot_announcer_putitdown_nag_03"	"This is unauthorized equipment. Restrict your calibration activity to the cores already in the calibration unit."
"vrslingshot_announcer_putitdown_nag_04"	"Ölçümleme ünitesine yetkisiz ekipmanı ölçümleterek onu yanlış bir şekilde kullanmanız 15 yıl hapse girmenize neden olabilir."
"[english]vrslingshot_announcer_putitdown_nag_04"	"Misuse of the calibration unit to calibrate unauthorized equipment may result in a prison sentence of up to fifteen years."
"vrslingshot_announcer_putitdown_nag_05"	"Bu ekipman ölçümleme için yetkilendirilmedi."
"[english]vrslingshot_announcer_putitdown_nag_05"	"This equipment is not authorized for calibration."
"vrslingshot_announcer_putitdown_nag_06"	"İhtiyacınız olan çekirdekler zaten ölçümleyicinin içinde."
"[english]vrslingshot_announcer_putitdown_nag_06"	"The cores you need are already in the calibrator."
"vrslingshot_announcer_putitdown_nag_07"	"Bu yetkisiz bir ekipman. Lütfen onu yere bırakın, eğer bırakmazsanız vurulacaksınız. 5... 4... 3... 2... 1. [klik] Nişancı taret bakım için bir süre kapalıdır. Lütfen yetkisiz ekipmanı ölçümlemeyin."
"[english]vrslingshot_announcer_putitdown_nag_07"	"This is unauthorized equipment. Please put it down, or you will be shot in 5... 4... 3... 2... 1. [click] The sniper sentry is temporarily down for maintenance. Please do not calibrate unauthorized equipment."
