"lang"
{
"Language"	"turkish"
"Tokens"
{
"Intro1_Snoring"	"[Horlama]"
"[english]Intro1_Snoring"	"[Snoring]"
"Intro2_Youre_Here_Part2"	"Ah! İşte buradasın!"
"[english]Intro2_Youre_Here_Part2"	"Oh! You're here!"
"Intro3_Welcome_to_VR"	"Sanal gerçekliğe ya da VR'a hoş geldin."
"[english]Intro3_Welcome_to_VR"	"Welcome to virtual reality, or VR."
"Intro4_Lets_Get_Started"	"Ben Sanal Gerçeklik Asistanı ve Eğitim Çekirdeğiyim. İşlerin nasıl gittiğini sana göstermek için sonraki birkaç dakika boyunca sana rehberlik edeceğim. Haydi başlayalım!"
"[english]Intro4_Lets_Get_Started"	"I am the Virtual Reality Assistance and Education Core. I shall be your guide for the next few minutes to show you how everything works. Let's get started!"
"Room1_Play_Area"	"Etrafına bir bak. Şu an durduğun turuncu çerçeveli yere OYUN ALANI deniyor. OYUN ALANI sınırlarınız kurulum sırasında tanımlandı ve VR deneyimleri o sınır içerisinde yer alacak."
"[english]Room1_Play_Area"	"Have a look around you. The orange border in which you are standing is called the PLAY AREA. The boundaries of your PLAY AREA were defined during setup, and VR experiences will take place within them."
"Room2_Chap_Intro"	"Şimdi, sana CHAPERONE SINIRLARINI tanıtmak istiyorum."
"[english]Room2_Chap_Intro"	"Now, I'd like to introduce you to your CHAPERONE BOUNDS."
"Room3_First_Walk"	"Bana doğru --yavaşça yürü lütfen --ve önünde havada beliren renkli çitleri gördüğünde dur."
"[english]Room3_First_Walk"	"Walk toward me--slowly, please--and stop when you see a colored fence appear in the air in front of you."
"Room4_Good"	"Güzel."
"[english]Room4_Good"	"Good."
"Room5_Chap_Appear"	"Bunlar senin CHAPERON SINIRLARIN. Gerçek dünyada nesnelerden darbe almanı önlemek için fiziksel mekan kenarına yaklaştığın zaman görünecekler."
"[english]Room5_Chap_Appear"	"These are your CHAPERONE BOUNDS. They will appear whenever you approach the edge of your physical space to help you avoid bumping into objects in the real world."
"Room6_Move_Side"	"Bunu bir kez daha yap. Diğer tarafa geçeceğim."
"[english]Room6_Move_Side"	"Let's do it one more time. I'll just move over to the other side."
"Room7_Second_Walk"	"Şimdi, bu tarafta bana doğru yavaşça yürü."
"[english]Room7_Second_Walk"	"Now, walk slowly toward me on this side."
"Room8_Hang_Of_It"	"Güzel! Sanırım nasıl olduğunu anladın."
"[english]Room8_Hang_Of_It"	"Great! I think you've got the hang of it."
"Room9_Step_Back"	"Son olarak CHAPERONE SINIRLARI yok olana kadar geriye doğru küçük bir adım at."
"[english]Room9_Step_Back"	"Lastly, take a small step back, just until the CHAPERONE BOUNDS disappear."
"Room10_Perfect"	"Harika."
"[english]Room10_Perfect"	"Perfect."
"Stand1_Full"	"Etrafına bir bak. Şu an durduğun turuncu çerçeveli yere OYUN ALANI deniyor. OYUN ALANI konumu kurulum sırasında tanımlandı. Bu, VR deneyimin boyunca durman gereken yerdir."
"[english]Stand1_Full"	"Have a look around you. The circle you are standing in is called the PLAY AREA. The location of your PLAY AREA was defined during setup. This is where you will need to stand during a VR experience."
"Con01_Intro"	"Şimdi, tuttuğun kontrolcülere bak."
"[english]Con01_Intro"	"Now, have a look at the controllers you are holding."
"Con01alt_Intro_Singular"	"Şimdi, tuttuğun kontrolcüye bak."
"[english]Con01alt_Intro_Singular"	"Now, have a look at the controller you are holding."
"Con02_Move_Around"	"Devam et ve onları etrafta taşı. Yüzünün önünde salla. Onlar tam olarak hareketlerini takip edecekler."
"[english]Con02_Move_Around"	"Go ahead and move them around. Wave them in front of your face. They are accurately tracked to your movements."
"Con03_Buttons"	"Haydi her bir kontrolcü butonuna geçelim."
"[english]Con03_Buttons"	"Let's go through each of the controller buttons."
"Con04_Trigger_Squeeze"	"Kontrolcünün altında bir TETİK butonu var. Sık onu."
"[english]Con04_Trigger_Squeeze"	"On the underside of the controller is a TRIGGER button. Give that a squeeze."
"Con05_Laser_TurnOff"	"Amanın! Oldukça tehlikeli görünüyor. Haydi bunu bir süreliğine kapat."
"[english]Con05_Laser_TurnOff"	"Oh my! That seems quite dangerous. Let's just turn that off for the moment."
"Con06_Grip_Press"	"Sonra, kontrolcünün iki tarafında da yer alan KAVRAMA butonlarını bul. Birisine bas."
"[english]Con06_Grip_Press"	"Next, find the GRIP buttons located on either side of the controller. Press one of them."
"Con07_Confetti_Festive"	"Ah. Çok şenli."
"[english]Con07_Confetti_Festive"	"Ah. Very festive."
"Con08_Track_Intro"	"Kontrolcünün üstündeki büyük daire YÖN KUMANDASI'dır. Baş parmağının altında olmalı. Baş parmağını YÖN KUMANDASI'nın etrafında kaydır. Bildirim parmağınla nereye dokunduğunu gösterir."
"[english]Con08_Track_Intro"	"The large circle on the controller is the TRACKPAD. It should be beneath your thumb. Slide your thumb around the TRACKPAD. Notice that it shows you where you are touching the pad."
"Con09_Track_Press"	"YÖN KUMANDASI aynı zamanda bir butondur. Şimdi YÖN KUMANDASI'na bas."
"[english]Con09_Track_Press"	"The TRACKPAD is also a button. Press in on the TRACKPAD now."
"Con10_Balloon"	"Oh! Bunun nerede saklandığını merak ediyordum."
"[english]Con10_Balloon"	"Oh! I wonder where that was hiding."
"Con11_Track4_Buttons"	"Farklı VR deneyimleri için YÖN KUMANDASINI farklı yollarla kullanabilirsin. Örneğin, haydi bir butonu dört butona dönüştürelim."
"[english]Con11_Track4_Buttons"	"Different VR experiences can use the TRACKPAD in a number of ways. For example, let's turn it into four buttons instead of one."
"Con12_Track4_Press_1"	"İşte. Şimdi, birine bas."
"[english]Con12_Track4_Press_1"	"There. Now, press one."
"Con13_Track4_Press_2"	"Hmm. Başkasını dene."
"[english]Con13_Track4_Press_2"	"Hmm. Try another."
"Con14_Track4_Press_3"	"Bir tane daha lütfen."
"[english]Con14_Track4_Press_3"	"One more please."
"Con15_Party"	"Peki! Bu oldukça güzel bir partiye dönüşüyor."
"[english]Con15_Party"	"Well! This is turning into quite a party."
"Con16_Menu_Press"	"Sonra, kontrolcüne bak ve MENÜ butonunu bul. Tahmin edebilirsin, çoğu VR deneyimi bu butonu menüyü açmak için kullanacak. Şimdi bas."
"[english]Con16_Menu_Press"	"Next, look at your controller and find the MENU button. As you may be able to guess, many VR experiences will use this button to call up a menu. Press it now."
"Con17_Menu_Pick"	"Orada çeşitli güzel şeyler var. Neden birisini denemiyorsun?"
"[english]Con17_Menu_Pick"	"Some nice variety there. Why not try one?"
"Con18_Menu_Chosen"	"İyi seçim!"
"[english]Con18_Menu_Chosen"	"Well chosen!"
"Con19_System_Button"	"Şimdi, SteamVR Gösterge Panelini açacak olan SİSTEM butonunu bul ve bas."
"[english]Con19_System_Button"	"Now find and press the SYSTEM button, which will summon the SteamVR Dashboard."
"Con19altA_System_Button_Short"	"SteamVR Gösterge Panelini açacak olan SİSTEM butonunu bul ve bas."
"[english]Con19altA_System_Button_Short"	"Find and press the SYSTEM button, which will summon the SteamVR Dashboard."
"Con19altB_Steam_Button"	"Şimdi, SteamVR Gösterge Panelini açacak olan STEAM butonunu bul ve bas."
"[english]Con19altB_Steam_Button"	"Now find and press the STEAM button, which will summon the SteamVR Dashboard."
"Con19altB_Steam_Button_Short"	"SteamVR Gösterge Panelini açacak olan STEAM butonunu bul ve bas."
"[english]Con19altB_Steam_Button_Short"	"Find and press the STEAM button, which will summon the SteamVR Dashboard."
"Dash01_IntroPause"	"İşte burada: SteamVR Gösterge Paneli. Çoğu VR deneyiminin Gösterge Paneli ekranda açık iken durdurulacağını unutma."
"[english]Dash01_IntroPause"	"Here it is: The SteamVR Dashboard. Note that most VR experiences will pause while the Dashboard is on-screen."
"Dash02_TriggerSystem"	"Gösterge Panelindeki öğeleri seçmek için TETİKLEYİCİ'yi kullanabilirsin ve SİSTEM butonuna tekrar basarak Gösterge Panelini kapatabilirsin."
"[english]Dash02_TriggerSystem"	"You can use the TRIGGER to select items on the Dashboard, and the Dashboard can be closed by pressing the SYSTEM button again."
"Dash02alt_AbuttSteam"	"Gösterge Panelindeki öğeleri seçmek için A BUTONU'nu kullanabilirsin ve STEAM butonuna tekrar basarak Gösterge Panelini kapatabilirsin."
"[english]Dash02alt_AbuttSteam"	"You can use the A BUTTON to select items on the Dashboard, and the Dashboard can be closed by pressing the STEAM button again."
"Dash02alt_AbuttSystem"	"Gösterge Panelindeki öğeleri seçmek için A BUTONU'nu kullanabilirsin ve SİSTEM butonuna tekrar basarak Gösterge Panelini kapatabilirsin."
"[english]Dash02alt_AbuttSystem"	"You can use the A BUTTON to select items on the Dashboard, and the Dashboard can be closed by pressing the SYSTEM button again."
"Dash03_Close"	"Devam et ve Gösterge Panelini kapat."
"[english]Dash03_Close"	"Go ahead and close the Dashboard."
