Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
GAMESAVED,#CaptionMod_GameSaved,,,,,,
CR27,#CR27,,,,,,
ENDCHEAT,#ENDCHEAT,,,,,,
INTRO1,#INTRO1,,,,,,
CR29,#CR29,,,,,,
CR30,#CR30,,,,,,
CR31,#CR31,,,,,,
CR32,#CR32,,,,,,
CR33,#CR33,,,,,,
CR34,#CR34,,,,,,
CR35,#CR35,,,,,,
CR36,#CR36,,,,,,
GAMEOVER,#GAMEOVER,,,,,,
XEN1FAILURE,#XEN1FAILURE,,,,,,
BSGAMEEND,#BSGAMEEND,,,,,,
ROSENDEAD,#ROSENDEAD,,,,,,
T0A0TITLE,#T0A0TITLE,,,,,,
BA_TRAMTITLE,#BA_TRAMTITLE,,,,,,
BA_SECURITYTITLE,#BA_SECURITYTITLE,,,,,,
BA_CANALSTITLE,#BA_CANALSTITLE,,,,,,
BA_YARDTITLE,#BA_YARDTITLE,,,,,,
BA_XENTITLE,#BA_XENTITLE,,,,,,
BA_POWERTITLE,#BA_POWERTITLE,,,,,,
BA_TELEPORTTITLE,#BA_TELEPORTTITLE,,,,,,
CHUMTOAD,#CHUMTOAD,,,,,,
BSTITLE,#BSTITLE,,,,,,
HZBUTTON1,#HZBUTTON1,,,,,,
HZBUTTON2,#HZBUTTON2,,,,,,
HZMOVE,#HZMOVE,,,,,,
HZJUMP,#HZJUMP,,,,,,
HZDUCK,#HZDUCK,,,,,,
HZCOMBO,#HZCOMBO,,,,,,
HZDUCKJUMP,#HZDUCKJUMP,,,,,,
HZLADDER,#HZLADDER,,,,,,
HZLJUMP,#HZLJUMP,,,,,,
HZLMOD,#HZLMOD,,,,,,
HZMEDKIT,#HZMEDKIT,,,,,,
HZMOMENT,#HZMOMENT,,,,,,
HZPUSH,#HZPUSH,,,,,,
HZPULL,#HZPULL,,,,,,
HZCROWBAR,#HZCROWBAR,,,,,,
HZLITEON,#HZLITEON,,,,,,
HZLITEOFF,#HZLITEOFF,,,,,,
HZWEAPON,#HZWEAPON,,,,,,
HZFIREWEAP,#HZFIREWEAP,,,,,,
HZARMOR,#HZARMOR,,,,,,
HZSWIM,#HZSWIM,,,,,,
HZDAMAGE,#HZDAMAGE,,,,,,
HZHAZARD,#HZHAZARD,,,,,,
HZSCIENTIST,#HZSCIENTIST,,,,,,
HZBARNEY,#HZBARNEY,,,,,,
HZTRAIN,#HZTRAIN,,,,,,
HZDONE,#HZDONE,,,,,,
HZWEAPONSTRIP,#HZWEAPONSTRIP,,,,,,
VOX_ELEV1,#VOX_ELEV1,,,,,,
VOX_ELEV2,#VOX_ELEV2,,,,,,
NA0,#NA0,,,,,,
NA1,#NA1,,,,,,
rosenberg/ro_calhoun.wav,#ro_calhoun,Gray,,#HalfLife_Rosenberg,,,
rosenberg/ro_cure0.wav,#ro_cure0,Gray,,#HalfLife_Rosenberg,,,
rosenberg/ro_cure1.wav,#ro_cure1,Gray,,#HalfLife_Rosenberg,,,
rosenberg/ro_cure2.wav,#ro_cure2,Gray,,#HalfLife_Rosenberg,,,
rosenberg/ro_fear1.wav,#ro_fear1,Gray,,#HalfLife_Rosenberg,,,
rosenberg/ro_heal0.wav,#ro_heal0,Gray,,#HalfLife_Rosenberg,,,
