"lang"
{
"Language""english"
"Tokens"
{
//Neccessities
"CaptionMod_GameSaved"	"Game Saved..."
"HalfLife_Hologram"		"[Hologram] "
"HalfLife_Scientist"	"[Scientist] "
"HalfLife_HEV_Voice"	"[HEV] "
"HalfLife_Announcer"	"[Announcer] "
"HalfLife_HECU"	"[HECU] "
"HalfLife_Radio"	"[Radio] "
"HalfLife_Security"	"[Security Officer] "
"HalfLife_Train"	"[Train] "
"HalfLife_Rosenberg" "[Rosenberg] "

//Messages
"CR27"	"Black Mesa Research Facility\nBlack Mesa, New Mexico"
"ENDCHEAT"	"THE END"
"INTRO1"	"SUBJECT:\nB. Calhoun"
"CR29"	"EDUCATION:\n2 years Martinson College\nUndecided Major"
"CR30"	"EMPLOYER:\nBlack Mesa Research Facility"
"CR31"	"POSITION:\nSecurity Officer"
"CR32"	"ASSIGNMENT:\nArea 3 Security"
"CR33"	"CLEARANCE:\nLevel 3"
"CR34"	"DISASTER RESPONSE PRIORITY:\nPreservation of facility\nequipment and materials."
"CR35"	"SECONDARY PRIORITY:\nWelfare of research personnel."
"CR36"	"LOW PRIORITY:\nPersonal safety."
"GAMEOVER"	"SUBJECT:  CALHOUN\n\nSTATUS:  EMPLOYMENT TERMINATED\n\nREASON FOR TERMINATION:\nImproper handling of a firearm\nin the facility."
"XEN1FAILURE"	"SUBJECT:  CALHOUN\n\nSTATUS:  UNKNOWN\n\nEmployee is assumed to have perished with\nremaining personnel during Lambda incident."
"BSGAMEEND"	"SUBJECT:  CALHOUN\n\nSTATUS:  OUT OF RANGE\n\nNO FURTHER COMMENT"
"ROSENDEAD"	"SUBJECT:  CALHOUN\n\nSTATUS:  UNKNOWN\n\nEmployee is assumed to have perished with\nremaining personnel during Lambda incident."
"T0A0TITLE"	"HAZARD COURSE"
"BA_TRAMTITLE"	"LIVING QUARTERS OUTBOUND"
"BA_SECURITYTITLE"	"INSECURITY"
"BA_CANALSTITLE"	"DUTY CALLS"
"BA_YARDTITLE"	"CAPTIVE FREIGHT"
"BA_XENTITLE"	"FOCAL POINT"
"BA_POWERTITLE"	"POWER STRUGGLE"
"BA_TELEPORTTITLE"	"A LEAP OF FAITH"
"CHUMTOAD"	"CHUMTOAD'S LAIR"
"BSTITLE"	"Half-Life: Blue Shift"
"HZBUTTON1"	"PRESS YOUR USE KEY TO PUSH A BUTTON"
"HZBUTTON2"	"PRESS YOUR USE KEY TO PUSH A BUTTON"
"HZMOVE"	"MOVE FORWARD BY PRESSING FORWARD KEY\nMOVE BACKWARD BY PRESSING BACKWARD KEY\nMOVE LEFT BY PRESSING MOVELEFT\nMOVE RIGHT BY PRESSING MOVERIGHT"
"HZJUMP"	"PRESS FORWARD KEY TO RUN FORWARD\nPRESS JUMP KEY TO JUMP"
"HZDUCK"	"PRESS FORWARD KEY TO RUN FORWARD\nPRESS DUCK KEY TO DUCK\nPRESS FORWARD + DUCK KEYS TOGETHER\nTO MOVE IN STEALTH MODE"
"HZCOMBO"	"PRESS FORWARD KEY TO RUN FORWARD\nPRESS JUMP KEY TO JUMP\nPRESS DUCK KEY TO DUCK\nPRESS JUMP KEY TO JUMP"
"HZDUCKJUMP"	"PRESS FORWARD + JUMP TOGETHER,\nTHEN THE DUCK KEY"
"HZLADDER"	"PRESS FORWARD KEY TO MOVE UP LADDERS\nPRESS BACKWARD KEY TO MOVE DOWN LADDERS"
"HZLJUMP"	"WHILE MOVING FORWARD,\nHOLD DOWN DUCK KEY--\nTHEN PRESS JUMP"
"HZLMOD"	"BE SURE YOU PICKED UP THE LONG-JUMP MODULE\nAT THE BEGINNING OF THE OBSTACLE"
"HZMEDKIT"	"USE MED-KITS BY HOLDING DOWN THE USE KEY\nHOLD DOWN USE KEY UNTIL HEALTH IS\nAT 100 OR KIT IS DEPLETED"
"HZMOMENT"	"ACTIVATE WHEELS AND DIALS \nBY HOLDING DOWN THE USE KEY\nHOLD USE KEY UNTIL BRIDGE IS IN POSITION"
"HZPUSH"	"PRESS FORWARD KEY TO MOVE AGAINST BOX\nKEEP PRESSING FORWARD TO PUSH BOX"
"HZPULL"	"PRESS USE + BACKWARD KEYS TOGETHER\nTO PULL BOX BACKWARD"
"HZCROWBAR"	"MOVE UP TO CROWBAR\nPRESS ATTACK1 KEY TO BREAK OBJECTS"
"HZLITEON"	"PRESS FLASHLIGHT KEY\nTO TURN FLASHLIGHT ON"
"HZLITEOFF"	"PRESS FLASHLIGHT KEY AGAIN \nTO TURN FLASHLIGHT OFF"
"HZWEAPON"	"MOVE UP TO WEAPON TO PICK IT UP"
"HZFIREWEAP"	"PRESS ATTACK1 KEY FOR PRIMARY ATTACK\nPRESS ATTACK2 KEY FOR ALTERNATE ATTACK\nPRESS RELOAD KEY TO RELOAD AT WILL"
"HZARMOR"	"PRESS AND HOLD YOUR USE KEY\nHOLD DOWN UNTIL SUIT ARMOR IS CHARGED\nOR CHARGER IS DEPLETED"
"HZSWIM"	"PRESS YOUR FORWARD KEY\nAIM WITH THE MOUSE AS YOU SWIM\nFIND AIR IF YOU BEGIN TO LOSE HEALTH\nWAIT IN THE AIR UNTIL HEALTH \nRETURNS TO FORMER LEVEL"
"HZDAMAGE"	"CERTAIN TYPES OF DAMAGE WILL REGISTER \nON YOUR HEADS-UP DISPLAY.\nDIRECTION OF DAMAGE IS INDICATED BY RED \nFLASHES IN THE CENTER OF YOUR SCREEN"
"HZHAZARD"	"RADIATION HAZARDS \nACTIVATE A GEIGER COUNTER"
"HZSCIENTIST"	"APPROACH SCIENTIST\nPRESS USE KEY TO RECEIVE HEALTH FROM SCIENTIST"
"HZBARNEY"	"APPROACH SCIENTIST\nPRESS YOUR USE KEY TO GET HIS HELP\nWALK TOWARD DOOR AND SCIENTIST\nWILL ACTIVATE THE RETINAL SCANNER"
"HZTRAIN"	"PRESS USE KEY TO ENGAGE TRAIN\nPRESS FORWARD KEY TO ACCELERATE\nPRESS BACKWARD KEY TO DECELERATE\nPRESS USE KEY AGAIN TO DISENGAGE"
"HZDONE"	"CONGRATULATIONS!\nYOU HAVE COMPLETED\nTHE BLACK MESA HAZARD COURSE.\nCOME BACK ANY TIME."
"HZWEAPONSTRIP"	"ENTERING CIVILIAN AREA\nREMOVING WEAPONS NOW"

//Barney Common
"aimforhead"	"Aim for the head, if you can find it."
"aintgoin"	"I'm not going anywhere."
"aintscared"	"You aren't scared, are you?"
"alreadyasked"	"Didn't you already ask me that?"
"ambush"	"I smell an ambush. We'd better be careful."
"ba_another"	"Ha ha, got another one!"
"ba_attack1"	"Freeze!"
"ba_bring"	"Bring it on!"
"ba_buttugly"	"That's one less horror in the world."
"ba_close"	"Whoa, that was close."
"ba_dontmake"	"Don't make me do this."
"ba_dotoyou"	"Hey, what did I ever do to you?"
"ba_duty"	"Sorry, I'm on duty, Mr. Freeman."
"ba_endline"	"End of the line for you."
"ba_firepl"	"Heh, that'll look nice in my trophy room."
"ba_friends"	"Hmpf, with friends like you...man!"
"ba_gotone"	"Got one!"
"ba_iwish"	"I wish it hadn't come to this."
"ba_later"	"Hey, catch me later, I'll buy you a beer."
"ba_pissme"	"Don't tick me off, Gordon."
"ba_post"	"Sorry, sir, I've got to stay at my post."
"ba_raincheck"	"Can we do this later?"
"ba_seethat"	"Man, did you see that shot?"
"ba_somuch"	"I only take so much and no more."
"ba_stepoff"	"Hey, step off, buddy!"
"ba_tomb"	"What do you want on your tombstone?"
"ba_uwish"	"Heh, you're gonna wish you hadn't done that."
"ba_watchit"	"Watch it with that thing!"
"ba_whatyou"	"What are you trying to do?"
"ba_whoathere"	"Watch it with that thing!"
"badarea"	"This area just doesn't feel right."
"badfeeling"	"I have a bad feeling about this."
"beertopside"	"You think there's a cold beer for us at the end of all this?"
"bequiet"	"Would you be quiet?"
"bigmess"	"Now I wonder if those boys could have made a bigger mess."
"bigplace"	"This place is a lot bigger than I thought."
"cantfigure"	"I can't figure it out."
"checkwounds"	"I'll bet that stings a bit."
"coldone"	"I would really like a cold one right now."
"crewdied"	"Any idea how many of our crew have died?"
"diebloodsucker"	"Die, you bloodsucker!"
"dobettertogether"	"Okay, we might live longer if we work together."
"dontaskme"	"Don't ask me."
"dontbet"	"Don't bet on it."
"dontbuyit"	"I don't buy it."
"dontfigure"	"I don't see it that way."
"dontguess"	"I don't think so."
"donthurtem"	"Hey, stop that!"
"dontreckon"	"I doubt it."
"getanyworse"	"It can't get any worse than this, can it?"
"gettingcloser"	"Think we're getting any closer?"
"gladof38"	"Bet you're glad I got this old sidearm on me, aren't ya?"
"gladtolendhand"	"Okay, why not? Didn't want to die alone anyway."
"guyresponsible"	"I'd like to get my hands on the guy responsible for this mess."
"hardtosay"	"It's hard to say."
"hearsomething"	"I hear something."
"hearsomething2"	"Hey, I hear something."
"hellonicesuit"	"Hello."
"helpothers"	"Okay, I'll wait here and help anyone else who comes by."
"heybuddy"	"Hey, Gordon."
"heyfella"	"Sir."
"hitbad"	"Well, I got hit pretty hard."
"howdy"	"Hey, Mr. Freeman."
"howyoudoing"	"Hello, sir."
"icanhear"	"That doesn't sound right."
"iguess"	"I guess so."
"illwait"	"Yeah, I'll wait here."
"imdead"	"Sorry, sir, but I can't take much more of this."
"imhit"	"Took a little damage, but I can make it."
"imwithyou"	"Let's get the hell out of here."
"ireckon"	"I reckon."
"iwaithere"	"You go on without me."
"justdontknow"	"I just don't know."
"leavealone"	"Are you crazy? Leave him alone!"
"letsgo"	"Yeah, let's go."
"letsmoveit"	"Roger that. Let's run like hell."
"luckwillturn"	"Our luck has to change sooner or later."
"maybe"	"Maybe."
"missingleg"	"Did you see that thing, with the... the missing leg?"
"mrfreeman"	"Mr. Freeman."
"nodrill"	"You don't still think this is a drill, do you?"
"nope"	"Nope."
"nosir"	"No, sir."
"notelling"	"I can't really tell."
"noway"	"No way."
"openfire"	"Open fire, Gordon! Open fire!"
