"lang"
{
"Language""english"
"Tokens"
{
//Neccessities
"CaptionMod_GameSaved"	"Oyun Kaydedildi..."
"HalfLife_Hologram"		"[Hologram] "
"HalfLife_Scientist"	"[Bilim İnsanı] "
"HalfLife_HEV_Voice"	"[HEV] "
"HalfLife_VOX"	"[Duyuru] "
"HalfLife_HECU"	"[Asker] "
"HalfLife_Rosenberg"	"[Rosenberg] "
"HalfLife_Security"	"[Güvenlik Görevlisi] "
"HalfLife_Keller"	"[Keller] "

//Messages
"HTTITLE"	"Half-Life: Decay\nTürkçe Çeviri: qabRieL"
"HTINFOG1"	"KİŞİ:\nGina Cross\nKadın, 31 yaşında"
"HTINFOG2"	"Eğitim:\nDoktora, Cal Tech, Uygulamalı Fizik"
"HTINFOG3"	"GÖREV:\nTehlikeli Çevre Denetmeni"
"HTINFOG4"	"GÖREV YERİ:\nOlağanüstü Maddeler Laboratuvarı"
"HTINFOG5"	"YETKİ:\nSeviye 4"
"HTINFOG6"	"İDARİ SPONSOR:\nGizli"
"HTINFOC1"	"KİŞİ:\nColette Green\nKadın, 37 yaşında"
"HTINFOC2"	"EĞİTİM:\nDoktora, Carnegie Mellon, Elektrik Mühendisliği"
"HTINFOC3"	"GÖREV:\nAraştırma Görevlisi"
"HTINFOC4"	"GÖREV YERİ:\nOlağanüstü Maddeler Laboratuvarı"
"HTINFOC5"	"YETKİ:\nSeviye 4"
"HTINFOC6"	"İDARİ SPONSOR:\nGizli"
"GAMEOVER"	"KİŞİLER: CROSS VE GREEN\n\nDURUM: DEĞERLENDİRME SONLANDIRILDI\n\nİŞLEM SONRASI\nKişiler, hedefe ulaşmak için insan\nkaynaklarını etkin bir şekilde kullanamadı."
"BOTHDEAD"	"KİŞİLER: CROSS VE GREEN\n\nDURUM: DEĞERLENDİRME SONLANDIRILDI\n\nİŞLEM SONRASI\nİki kişi de Black Mesa kazası\nsırasında hayatını kaybetti."
"DEADGINA"	"KİŞİLER: CROSS VE GREEN\n\nDURUM: DEĞERLENDİRME SONLANDIRILDI\n\nİŞLEM SONRASI\nDr. Gina Cross Black Mesa kazası\nsırasında hayatını kaybetti."
"DEADCOLETTE"	"KİŞİLER: CROSS VE GREEN\n\nDURUM: DEĞERLENDİRME SONLANDIRILDI\n\nİŞLEM SONRASI\nDr. Colette Green Black Mesa kazası\nsırasında hayatını kaybetti."
"DEADALIEN"	"DRONE KİŞİLER: X-8973 VE R-4913\n\nDRONE DURUMU: YAŞAM İŞLEVİ SONLANDI\n\nGÖREV DURUMU:\nBaşarısızlık - malzeme kurtarılamadı."
"SUCCESS"	"KİŞİLER: CROSS VE GREEN\n\nDURUM: GÖREV TAMAMLANDI\n\nİŞLEM SONRASI:\nGörev tamamlandı."
"DYLOCKED"	"ERİŞİM REDDEDİLDİ\n\nGörev kilitli! DY_ACCIDENT1\nharitasından başlayın\n\nGÖREV KİLİTLİ"
"HT01COMPLETE"	"ÇİFTE ERİŞİM\n\nKazadan sağ çıkıldı.\n\nGÖREV TAMAMLANDI"
"HT02COMPLETE"	"TEHLİKE KURSU\n\nRosenberg'e yüzeye kadar yardım edildi.\n\nGÖREV TAMAMLANDI"
