Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
GAMESAVED,#CaptionMod_GameSaved,Gray,,#HalfLife_Scientist,,,
DEMOTITLE,#DEMOTITLE,,,,,,
DEMOTXT1,#DEMOTXT1,,,,,,
DEMOTXT2,#DEMOTXT2,,,,,,
DEMOTXT3,#DEMOTXT3,,,,,,
DEMOTXT4,#DEMOTXT4,,,,,,
DEMOTXT6,#DEMOTXT6,,,,,,
DEMOTXT7,#DEMOTXT7,,,,,,
barney/aimforhead,#aimforhead,Blue,,#HalfLife_Security,,,
barney/aintgoin.wav,#aintgoin,Blue,,#HalfLife_Security,,,
barney/aintscared.wav,#aintscared,Blue,,#HalfLife_Security,,,
barney/alreadyasked.wav,#alreadyasked,Blue,,#HalfLife_Security,,,
barney/ambush.wav,#ambush,Blue,,#HalfLife_Security,,,
barney/ba_another.wav,#ba_another,Blue,,#HalfLife_Security,,,
barney/ba_attack1.wav,#ba_attack1,Blue,,#HalfLife_Security,,,
barney/ba_bring.wav,#ba_bring,Blue,,#HalfLife_Security,,,
barney/ba_buttugly.wav,#ba_buttugly,Blue,,#HalfLife_Security,,,
barney/ba_close.wav,#ba_close,Blue,,#HalfLife_Security,,,
barney/ba_dontmake.wav,#ba_dontmake,Blue,,#HalfLife_Security,,,
barney/ba_dotoyou.wav,#ba_dotoyou,Blue,,#HalfLife_Security,,,
barney/ba_duty.wav,#ba_duty,Blue,,#HalfLife_Security,,,
barney/ba_endline.wav,#ba_endline,Blue,,#HalfLife_Security,,,
barney/ba_firepl.wav,#ba_firepl,Blue,,#HalfLife_Security,,,
barney/ba_friends.wav,#ba_friends,Blue,,#HalfLife_Security,,,
barney/ba_gotone.wav,#ba_gotone,Blue,,#HalfLife_Security,,,
barney/ba_iwish.wav,#ba_iwish,Blue,,#HalfLife_Security,,,
barney/ba_later.wav,#ba_later,Blue,,#HalfLife_Security,,,
barney/ba_pissme.wav,#ba_pissme,Blue,,#HalfLife_Security,,,
barney/ba_post.wav,#ba_post,Blue,,#HalfLife_Security,,,
barney/ba_raincheck.wav,#ba_raincheck,Blue,,#HalfLife_Security,,,
barney/ba_seethat.wav,#ba_seethat,Blue,,#HalfLife_Security,,,
barney/ba_somuch.wav,#ba_somuch,Blue,,#HalfLife_Security,,,
barney/ba_stepoff.wav,#ba_stepoff,Blue,,#HalfLife_Security,,,
barney/ba_tomb.wav,#ba_tomb,Blue,,#HalfLife_Security,,,
barney/ba_uwish.wav,#ba_uwish,Blue,,#HalfLife_Security,,,
barney/ba_watchit.wav,#ba_watchit,Blue,,#HalfLife_Security,,,
barney/ba_whatyou.wav,#ba_whatyou,Blue,,#HalfLife_Security,,,
barney/ba_whoathere.wav,#ba_whoathere,Blue,,#HalfLife_Security,,,
barney/badarea.wav,#badarea,Blue,,#HalfLife_Security,,,
barney/badfeeling.wav,#badfeeling,Blue,,#HalfLife_Security,,,
barney/beertopside.wav,#beertopside,Blue,,#HalfLife_Security,,,
barney/bequiet.wav,#bequiet,Blue,,#HalfLife_Security,,,
barney/bigmess.wav,#bigmess,Blue,,#HalfLife_Security,,,
barney/bigplace.wav,#bigplace,Blue,,#HalfLife_Security,,,
barney/cantfigure.wav,#cantfigure,Blue,,#HalfLife_Security,,,
barney/checkwounds.wav,#checkwounds,Blue,,#HalfLife_Security,,,
barney/coldone.wav,#coldone,Blue,,#HalfLife_Security,,,
barney/crewdied.wav,#crewdied,Blue,,#HalfLife_Security,,,
barney/diebloodsucker.wav,#diebloodsucker,Blue,,#HalfLife_Security,,,
barney/dobettertogether.wav,#dobettertogether,Blue,,#HalfLife_Security,,,
barney/dontaskme.wav,#dontaskme,Blue,,#HalfLife_Security,,,
barney/dontbet.wav,#dontbet,Blue,,#HalfLife_Security,,,
barney/dontbuyit.wav,#dontbuyit,Blue,,#HalfLife_Security,,,
barney/dontfigure.wav,#dontfigure,Blue,,#HalfLife_Security,,,
barney/dontguess.wav,#dontguess,Blue,,#HalfLife_Security,,,
barney/donthurtem.wav,#donthurtem,Blue,,#HalfLife_Security,,,
barney/dontreckon.wav,#dontreckon,Blue,,#HalfLife_Security,,,
barney/getanyworse.wav,#getanyworse,Blue,,#HalfLife_Security,,,
barney/gettingcloser.wav,#gettingcloser,Blue,,#HalfLife_Security,,,
barney/gladof38.wav,#gladof38,Blue,,#HalfLife_Security,,,
barney/gladtolendhand.wav,#gladtolendhand,Blue,,#HalfLife_Security,,,
barney/guyresponsible.wav,#guyresponsible,Blue,,#HalfLife_Security,,,
barney/hardtosay.wav,#hardtosay,Blue,,#HalfLife_Security,,,
barney/hearsomething.wav,#hearsomething,Blue,,#HalfLife_Security,,,
barney/hearsomething2.wav,#hearsomething2,Blue,,#HalfLife_Security,,,
barney/hellonicesuit.wav,#hellonicesuit,Blue,,#HalfLife_Security,,,
barney/helpothers.wav,#helpothers,Blue,,#HalfLife_Security,,,
barney/heybuddy.wav,#heybuddy,Blue,,#HalfLife_Security,,,
barney/heyfella.wav,#heyfella,Blue,,#HalfLife_Security,,,
barney/hitbad.wav,#hitbad,Blue,,#HalfLife_Security,,,
barney/howdy.wav,#howdy,Blue,,#HalfLife_Security,,,
barney/howyoudoing.wav,#howyoudoing,Blue,,#HalfLife_Security,,,
barney/icanhear.wav,#icanhear,Blue,,#HalfLife_Security,,,
barney/iguess.wav,#iguess,Blue,,#HalfLife_Security,,,
barney/illwait.wav,#illwait,Blue,,#HalfLife_Security,,,
barney/imdead.wav,#imdead,Blue,,#HalfLife_Security,,,
barney/imhit.wav,#imhit,Blue,,#HalfLife_Security,,,
barney/imwithyou.wav,#imwithyou,Blue,,#HalfLife_Security,,,
barney/ireckon.wav,#ireckon,Blue,,#HalfLife_Security,,,
barney/iwaithere.wav,#iwaithere,Blue,,#HalfLife_Security,,,
barney/justdontknow.wav,#justdontknow,Blue,,#HalfLife_Security,,,
barney/leavealone.wav,#leavealone,Blue,,#HalfLife_Security,,,
barney/letsgo.wav,#letsgo,Blue,,#HalfLife_Security,,,
barney/letsmoveit.wav,#letsmoveit,Blue,,#HalfLife_Security,,,
barney/luckwillturn.wav,#luckwillturn,Blue,,#HalfLife_Security,,,
barney/maybe.wav,#maybe,Blue,,#HalfLife_Security,,,
barney/missingleg.wav,#missingleg,Blue,,#HalfLife_Security,,,
barney/mrfreeman.wav,#mrfreeman,Blue,,#HalfLife_Security,,,
barney/nodrill.wav,#nodrill,Blue,,#HalfLife_Security,,,
barney/nope.wav,#nope,Blue,,#HalfLife_Security,,,
barney/nosir.wav,#nosir,Blue,,#HalfLife_Security,,,
barney/notelling.wav,#notelling,Blue,,#HalfLife_Security,,,
barney/noway.wav,#noway,Blue,,#HalfLife_Security,,,
barney/openfire.wav,#openfire,Blue,,#HalfLife_Security,,,
barney/realbadwound.wav,#realbadwound,Blue,,#HalfLife_Security,,,
barney/rightway.wav,#rightway,Blue,,#HalfLife_Security,,,
barney/seeya.wav,#seeya,Blue,,#HalfLife_Security,,,
barney/slowingyoudown.wav,#slowingyoudown,Blue,,#HalfLife_Security,,,
barney/somethingdied.wav,#somethingdied,Blue,,#HalfLife_Security,,,
barney/somethingmoves.wav,#somethingmoves,Blue,,#HalfLife_Security,,,
barney/somethingstinky.wav,#somethingstinky,Blue,,#HalfLife_Security,,,
barney/soundsbad.wav,#soundsbad,Blue,,#HalfLife_Security,,,
barney/soundsright.wav,#soundsright,Blue,,#HalfLife_Security,,,
barney/standback.wav,#standback,Blue,,#HalfLife_Security,,,
barney/standguard.wav,#standguard,Blue,,#HalfLife_Security,,,
barney/stench.wav,#stench,Blue,,#HalfLife_Security,,,
barney/stop1.wav,#stop1,Blue,,#HalfLife_Security,,,
barney/stop2.wav,#stop2,Blue,,#HalfLife_Security,,,
barney/stophere.wav,#stophere,Blue,,#HalfLife_Security,,,
barney/survive.wav,#survive,Blue,,#HalfLife_Security,,,
barney/targetpractice.wav,#targetpractice,Blue,,#HalfLife_Security,,,
barney/teamup1.wav,#teamup1,Blue,,#HalfLife_Security,,,
barney/teamup2.wav,#teamup2,Blue,,#HalfLife_Security,,,
barney/thinking.wav,#thinking,Blue,,#HalfLife_Security,,,
barney/waitin.wav,#waitin,Blue,,#HalfLife_Security,,,
barney/wayout.wav,#wayout,Blue,,#HalfLife_Security,,,
barney/whatgood.wav,#whatgood,Blue,,#HalfLife_Security,,,
barney/whatisthat.wav,#whatisthat,Blue,,#HalfLife_Security,,,
barney/whatsgoingon.wav,#whatsgoingon,Blue,,#HalfLife_Security,,,
barney/workingonstuff.wav,#workingonstuff,Blue,,#HalfLife_Security,,,
barney/yessir.wav,#yessir,Blue,,#HalfLife_Security,,,
barney/youbet.wav,#youbet,Blue,,#HalfLife_Security,,,
barney/youeverseen.wav,#youeverseen,Blue,,#HalfLife_Security,,,
barney/yougotit.wav,#yougotit,Blue,,#HalfLife_Security,,,
barney/youhearthat.wav,#youhearthat,Blue,,#HalfLife_Security,,,
barney/youneedmedic.wav,#youneedmedic,Blue,,#HalfLife_Security,,,
barney/youtalkmuch.wav,#youtalkmuch,Blue,,#HalfLife_Security,,,
barney/yup.wav,#yup,Blue,,#HalfLife_Security,,,
scientist/absolutely.wav,#absolutely,Gray,,#HalfLife_Scientist,,,
scientist/absolutelynot.wav,#absolutelynot,Gray,,#HalfLife_Scientist,,,
scientist/administrator.wav,#administrator,Gray,,#HalfLife_Scientist,,,
scientist/afellowsci.wav,#afellowsci,Gray,,#HalfLife_Scientist,,,
scientist/ahfreeman.wav,#ahfreeman,Gray,,#HalfLife_Scientist,,,
scientist/alienapeal.wav,#alienapeal,Gray,,#HalfLife_Scientist,,,
scientist/alientrick.wav,#alientrick,Gray,,#HalfLife_Scientist,,,
scientist/allnominal.wav,#allnominal,Gray,,#HalfLife_Scientist,,,
scientist/alright.wav,#alright,Gray,,#HalfLife_Scientist,,,
scientist/analysis.wav,#analysis,Gray,,#HalfLife_Scientist,,,
scientist/announcer.wav,#announcer,Gray,,#HalfLife_Scientist,,,
scientist/areyouthink.wav,#areyouthink,Gray,,#HalfLife_Scientist,,,
scientist/asexpected.wav,#asexpected,Gray,,#HalfLife_Scientist,,,
scientist/beenaburden.wav,#beenaburden,Gray,,#HalfLife_Scientist,,,
scientist/beverage.wav,#beverage,Gray,,#HalfLife_Scientist,,,
scientist/bloodsample.wav,#bloodsample,Gray,,#HalfLife_Scientist,,,
scientist/cantbeserious.wav,#cantbeserious,Gray,,#HalfLife_Scientist,,,
scientist/cantbeworse.wav,#cantbeworse,Gray,,#HalfLife_Scientist,,,
scientist/canttakemore.wav,#canttakemore,Gray,,#HalfLife_Scientist,,,
scientist/cascade.wav,#cascade,Gray,,#HalfLife_Scientist,,,
